tripid,stationid,city,truckid,truck,date,wastetons
114221,21,Sao Paulo,245,Volvo,2020-01-01,40.95
114084,43,Brasilia,145,Volvo,2020-01-01,42.60
114220,83,Sao Paulo,217,Volvo,2020-01-01,33.52
114219,19,Sao Paulo,238,Scania,2020-01-01,31.22
114218,48,Salvador,189,Volvo,2020-01-01,31.32
114217,47,Salvador,179,Volvo,2020-01-01,36.11
114216,47,Salvador,170,Scania,2020-01-01,31.27
114215,82,Salvador,213,Volvo,2020-01-01,40.44
114214,82,Salvador,211,Volvo,2020-01-01,37.61
114213,82,Salvador,213,Volvo,2020-01-01,42.44
114212,47,Salvador,179,Volvo,2020-01-01,44.54
114211,82,Salvador,213,Volvo,2020-01-01,30.46
114210,82,Salvador,213,Volvo,2020-01-01,44.01
114209,47,Salvador,179,Volvo,2020-01-01,31.80
114208,81,Salvador,194,Scania,2020-01-01,36.50
114207,47,Salvador,179,Volvo,2020-01-01,36.12
114206,47,Salvador,178,Scania,2020-01-01,34.32
114205,82,Salvador,213,Volvo,2020-01-01,34.43
114204,47,Salvador,170,Scania,2020-01-01,35.51
114203,82,Salvador,213,Volvo,2020-01-01,30.31
114202,81,Salvador,194,Scania,2020-01-01,41.58
114201,81,Salvador,192,Scania,2020-01-01,34.93
114200,48,Salvador,182,Scania,2020-01-01,38.97
114199,81,Salvador,194,Scania,2020-01-01,38.62
114198,47,Salvador,178,Scania,2020-01-01,41.05
114197,47,Salvador,179,Volvo,2020-01-01,42.22
114196,48,Salvador,189,Volvo,2020-01-01,44.95
114195,47,Salvador,170,Scania,2020-01-01,36.16
114194,47,Salvador,178,Scania,2020-01-01,34.71
114193,47,Salvador,170,Scania,2020-01-01,40.88
114192,81,Salvador,198,Scania,2020-01-01,44.91
114191,82,Salvador,211,Volvo,2020-01-01,32.23
114190,82,Salvador,213,Volvo,2020-01-01,34.43
114189,81,Salvador,194,Scania,2020-01-01,38.47
114188,82,Salvador,211,Volvo,2020-01-01,43.73
114187,82,Salvador,211,Volvo,2020-01-01,38.39
114186,48,Salvador,182,Scania,2020-01-01,43.68
114185,47,Salvador,178,Scania,2020-01-01,43.90
114184,48,Salvador,184,Scania,2020-01-01,32.31
114183,81,Salvador,194,Scania,2020-01-01,36.05
114182,82,Salvador,211,Volvo,2020-01-01,44.41
114181,82,Salvador,211,Volvo,2020-01-01,39.46
114180,48,Salvador,182,Scania,2020-01-01,34.67
114179,47,Salvador,170,Scania,2020-01-01,44.97
114178,47,Salvador,170,Scania,2020-01-01,43.98
114177,81,Salvador,191,Volvo,2020-01-01,39.51
114176,81,Salvador,194,Scania,2020-01-01,41.15
114175,81,Salvador,192,Scania,2020-01-01,35.81
114174,47,Salvador,179,Volvo,2020-01-01,33.88
114173,82,Salvador,213,Volvo,2020-01-01,33.69
114172,48,Salvador,188,Scania,2020-01-01,32.41
114171,82,Salvador,211,Volvo,2020-01-01,38.87
114170,81,Salvador,198,Scania,2020-01-01,39.44
114169,47,Salvador,170,Scania,2020-01-01,33.11
114168,82,Salvador,211,Volvo,2020-01-01,35.24
114167,48,Salvador,189,Volvo,2020-01-01,35.67
114166,81,Salvador,194,Scania,2020-01-01,30.40
114165,81,Salvador,194,Scania,2020-01-01,41.74
114164,47,Salvador,178,Scania,2020-01-01,31.68
114163,48,Salvador,184,Scania,2020-01-01,42.78
114162,82,Salvador,213,Volvo,2020-01-01,42.29
114161,81,Salvador,191,Volvo,2020-01-01,35.92
114160,81,Salvador,194,Scania,2020-01-01,35.53
114159,47,Salvador,178,Scania,2020-01-01,35.38
114158,82,Salvador,211,Volvo,2020-01-01,40.07
114157,82,Salvador,213,Volvo,2020-01-01,41.40
114156,81,Salvador,192,Scania,2020-01-01,31.58
114155,47,Salvador,170,Scania,2020-01-01,36.01
114154,81,Salvador,191,Volvo,2020-01-01,32.59
114153,82,Salvador,213,Volvo,2020-01-01,39.52
114152,48,Salvador,182,Scania,2020-01-01,38.32
114151,47,Salvador,170,Scania,2020-01-01,31.63
114150,82,Salvador,211,Volvo,2020-01-01,30.75
114149,81,Salvador,191,Volvo,2020-01-01,35.31
114148,81,Salvador,194,Scania,2020-01-01,36.89
114147,47,Salvador,170,Scania,2020-01-01,36.61
114146,47,Salvador,178,Scania,2020-01-01,36.70
114145,82,Salvador,213,Volvo,2020-01-01,36.73
114144,48,Salvador,184,Scania,2020-01-01,40.28
114143,81,Salvador,192,Scania,2020-01-01,44.28
114142,46,Brasilia,168,Scania,2020-01-01,41.79
114141,71,Brasilia,126,Scania,2020-01-01,38.35
114140,43,Brasilia,144,Scania,2020-01-01,37.52
114139,97,Brasilia,122,Scania,2020-01-01,36.10
114138,43,Brasilia,143,Volvo,2020-01-01,37.98
114137,43,Brasilia,148,Scania,2020-01-01,40.98
114136,77,Brasilia,152,Scania,2020-01-01,42.93
114135,40,Brasilia,136,Scania,2020-01-01,44.05
